'y-axis saved as y
'x,CLR_4N_051D_XRD_20190814.raw,Diff,Ycalc
35.0001,1706,46.9865984,1659.0134
35.030705,1688,27.829909,1660.17009
35.0613101,1657,-4.48941178,1661.48941
35.0919151,1667,4.05487768,1662.94512
35.1225201,1682,17.4876141,1664.51239
35.1531252,1657,-9.16772452,1666.16772
35.1837302,1685,17.1110258,1667.88897
35.2143352,1705,35.344759,1669.65524
35.2449403,1649,-22.4468578,1671.44686
35.2755453,1732,58.754657,1673.24534
35.3061504,1683,7.96664107,1675.03336
35.3367554,1633,-43.7946724,1676.79467
35.3673604,1661,-17.5141152,1678.51412
35.3979655,1635,-45.1775461,1680.17755
35.4285705,1607,-74.771814,1681.77181
35.4591755,1650,-33.2847209,1683.28472
35.4897806,1669,-15.704987,1684.70499
35.5203856,1650,-36.0222159,1686.02222
35.5509906,1670,-17.2268608,1687.22686
35.5815957,1667,-21.3101919,1688.31019
35.6122007,1705,15.7357362,1689.26426
35.6428057,1661,-29.0818847,1690.08188
35.6734108,1746,55.2434145,1690.75659
35.7040158,1697,5.71740926,1691.28259
35.7346208,1671,-20.6547888,1691.65479
35.7652259,1705,13.1312958,1691.8687
35.7958309,1685,-6.92047044,1691.92047
35.826436,1747,55.1931975,1691.8068
35.857041,1648,-153.056979,1801.05698
35.887646,1735,-82.2998518,1817.29985
35.9182511,1787,-50.5052661,1837.50527
35.9488561,1886,22.8387136,1863.16129
35.9794611,1901,4.50595345,1896.49405
36.0100662,2068,93.2789934,1974.72101
36.0406712,2197,94.6207709,2102.37923
36.0712762,2404,194.589695,2209.41031
36.1018813,2746,379.548389,2366.45161
36.1324863,3088,476.839193,2611.16081
36.1630913,3562,536.002688,3025.99731
36.1936964,3740,-84.7563615,3824.75636
36.2243014,5168,-566.858661,5734.85866
36.2549065,12824,-69.1485051,12893.1485
36.2855115,58055,617.849005,57437.151
36.3161165,83128,-2706.18547,85834.1855
36.3467216,22995,1549.62452,21445.3755
36.3773266,31419,-38.879418,31457.8794
36.4079316,45209,2357.24557,42851.7544
36.4385367,12431,-181.625416,12612.6254
36.4691417,4613,-735.988521,5348.98852
36.4997467,3243,-332.361489,3575.36149
36.5303518,2678,-177.443371,2855.44337
36.5609568,2249,-233.056124,2482.05612
36.5915618,2117,-142.203973,2259.20397
36.6221669,2000,-113.469027,2113.46903
36.6527719,1858,-153.765619,2011.76562
36.6833769,1785,-152.205688,1937.20569
36.713982,1708,-172.361135,1880.36114
36.744587,1722,-113.600813,1835.60081
36.7751921,1666,58.0959406,1607.90406
36.8057971,1644,40.9097434,1603.09026
36.8364021,1669,70.8083447,1598.19166
36.8670072,1678,84.7867485,1593.21325
36.8976122,1647,58.8399455,1588.16005
36.9282172,1698,114.962921,1583.03708
36.9588223,1646,68.1506626,1577.84934
36.9894273,1576,3.3981677,1572.60183
37.0200323,1497,-70.2995496,1567.29955
37.0506374,1534,-27.9474514,1561.94745
37.0812424,1595,38.4495297,1556.55047
37.1118474,1595,43.8864976,1551.1135
37.1424525,1579,33.3585978,1545.6414
37.1730575,1546,5.86102359,1540.13898
37.2036625,1472,-62.6109794,1534.61098
37.2342676,1600,70.9378924,1529.06211
37.2648726,1515,-8.49699519,1523.497
37.2954777,1549,31.0797905,1517.92021
37.3260827,1510,-2.33624671,1512.33625
37.3566877,1498,-8.7495281,1506.74953
37.3872928,1488,-13.1643962,1501.1644
37.4178978,1507,11.4148886,1495.58511
37.4485028,1529,38.9841514,1490.01585
37.4791079,1464,-20.4606942,1484.46069
37.5097129,1487,8.07635645,1478.92364
37.5403179,1523,49.5914021,1473.4086
37.570923,1520,52.0806377,1467.91936
37.601528,1506,43.5403566,1462.45964
37.632133,1451,-6.0330473,1457.03305
37.6627381,1395,-56.6430779,1451.64308
37.6933431,1480,33.706865,1446.29314
37.7239482,1464,23.0134867,1440.98651
37.7545532,1387,-48.7264004,1435.7264
37.7851582,1472,41.4841235,1430.51588
37.8157633,1452,26.6420872,1425.35791
37.8463683,1448,27.7446292,1420.25537
37.8769733,1487,71.7889981,1415.211
37.9075784,1457,46.7725533,1410.22745
37.9381834,1433,27.6927655,1405.30723
37.9687884,1434,33.5472167,1400.45278
37.9993935,1431,35.3336005,1395.6664
38.0299985,1462,71.049722,1390.95028
38.0606035,1462,75.6934978,1386.3065
38.0912086,1363,-18.7370445,1381.73704
38.1218136,1377,-0.243766382,1377.24377
38.1524186,1425,52.1715809,1372.82842
38.1830237,1419,50.507356,1368.49264
38.2136287,1346,-18.2379735,1364.23797
38.2442338,1435,74.9341684,1360.06583
38.2748388,1342,-13.9775349,1355.97753
38.3054438,1361,9.02570665,1351.97429
38.3360489,1381,32.9427885,1348.05721
38.3666539,1399,54.7727104,1344.22729
38.3972589,1392,51.5145755,1340.48542
38.427864,1408,71.1675886,1336.83241
38.458469,1389,55.7310555,1333.26894
38.489074,1310,-19.7956192,1329.79562
38.5196791,1298,-28.4129329,1326.41293
38.5502841,1386,61.184675,1324.81533
38.5808891,1382,60.1394107,1321.86059
38.6114942,1381,61.945008,1319.05499
38.6420992,1357,40.5818143,1316.41819
38.6727042,1376,62.0212178,1313.97878
38.7033093,1367,55.2200994,1311.7799
38.7339143,1374,63.0451292,1310.95487
38.7645194,1366,55.8569615,1310.14304
38.7951244,1306,-3.6230912,1309.62309
38.8257294,1358,47.814325,1310.18568
38.8563345,1316,3.38043442,1312.61957
38.8869395,1397,78.2826608,1318.71734
