'y-axis saved as y
'x,CLR_4N_056A_XRD_20190819.raw,Diff,Ycalc
10.0001,3306,-358.555249,3664.55525
10.0358618,3402,-237.703381,3639.70338
10.0716236,3256,-359.908639,3615.90864
10.1073854,3237,-356.151294,3593.15129
10.1431472,3425,-146.411856,3571.41186
10.178909,3207,-343.671074,3550.67107
10.2146708,3350,-180.909929,3530.90993
10.2504326,3292,-220.109638,3512.10964
10.2861944,3300,-194.251648,3494.25165
10.3219562,3448,-29.3176341,3477.31763
10.357718,3408,-53.2895001,3461.2895
10.3934798,3435,-11.1493731,3446.14937
10.4292417,3359,-72.8796031,3431.8796
10.4650035,3232,-186.462761,3418.46276
10.5007653,3386,-19.8816366,3405.88164
10.5365271,3358,-36.1192356,3394.11924
10.5722889,3243,-140.158779,3383.15878
10.6080507,3321,-51.9837002,3372.9837
10.6438125,3401,37.4223567,3363.57764
10.6795743,3355,0.0755386618,3354.92446
10.7153361,3369,21.9917861,3347.00821
10.7510979,3380,40.1868344,3339.81317
10.7868597,3338,4.67621589,3333.32378
10.8226215,3353,25.475262,3327.52474
10.8583833,3467,144.599105,3322.4009
10.8941451,3517,199.062679,3317.93732
10.9299069,3463,148.880725,3314.11928
10.9656687,3431,120.067786,3310.93221
11.0014305,3404,95.6382188,3308.36178
11.0371923,3572,265.606186,3306.39381
11.0729541,3522,216.985663,3305.01434
11.1087159,3529,224.790439,3304.20956
11.1444777,3482,178.03412,3303.96588
11.1802395,3536,231.730127,3304.26987
11.2160013,3565,259.891701,3305.1083
11.2517632,3585,278.531904,3306.4681
11.287525,3508,199.663619,3308.33638
11.3232868,3597,286.299554,3310.70045
11.3590486,3632,318.452243,3313.54776
11.3948104,3536,219.134047,3316.86595
11.4305722,3558,237.357157,3320.64284
11.466334,3654,329.133594,3324.86641
11.5020958,3714,384.475211,3329.52479
11.5378576,3491,156.393696,3334.6063
11.5736194,3599,258.900572,3340.09943
11.6093812,3563,217.007201,3345.9928
11.645143,3593,240.724783,3352.27522
11.6809048,3713,354.064357,3358.93564
11.7166666,3600,234.036806,3365.96319
11.7524284,3646,272.652856,3373.34714
11.7881902,3713,331.92308,3381.07692
11.823952,3700,310.857894,3389.14211
11.8597138,3649,251.467567,3397.53243
11.8954756,3522,115.762214,3406.23779
11.9312374,3628,212.751803,3415.2482
11.9669992,3687,262.446155,3424.55385
12.002761,3602,167.854945,3434.14506
12.0385229,3581,136.987704,3444.0123
12.0742847,3724,269.85382,3454.14618
12.1100465,3566,101.462541,3464.53746
12.1458083,3621,145.822973,3475.17703
12.1815701,3665,178.944085,3486.05591
12.2173319,3739,241.83471,3497.16529
12.2530937,3679,170.503544,3508.49646
12.2888555,3584,63.9591479,3520.04085
12.3246173,3639,107.209952,3531.79005
12.3603791,3575,31.2642462,3543.73575
12.3961409,3684,128.130169,3555.86983
12.4319027,3616,47.8156555,3568.18434
12.4676645,3715,134.328204,3580.6718
12.5034263,3669,75.6745242,3593.32548
12.5391881,3611,4.86248079,3606.13752
12.5749499,3481,-138.096699,3619.0967
12.6107117,3568,-64.196893,3632.19689
12.6464735,3638,-7.43167803,3645.43168
12.6822353,3656,-2.79400443,3658.794
12.7179971,3721,48.7231764,3672.27682
12.7537589,3599,-86.8732004,3685.8732
12.7895207,3649,-50.5763218,3699.57632
12.8252825,3596,-117.379513,3713.37951
12.8610444,3721,-6.27628751,3727.27629
12.8968062,3765,23.7394236,3741.26058
12.932568,3783,27.6729155,3755.32708
12.9683298,3604,-165.46939,3769.46939
13.0040916,3681,-102.677759,3783.67776
13.0398534,3693,-104.947393,3797.94739
13.0756152,3731,-81.2732185,3812.27322
13.111377,3625,-201.649549,3826.64955
13.1471388,3697,-144.070697,3841.0707
13.1829006,3662,-193.531078,3855.53108
13.2186624,3619,-251.025225,3870.02522
13.2544242,3748,-136.547782,3884.54778
13.290186,3750,-149.093513,3899.09351
13.3259478,3870,-43.6573049,3913.6573
13.3617096,3750,-178.234175,3928.23418
13.3974714,3715,-227.819282,3942.81928
13.4332332,3802,-155.407939,3957.40794
13.468995,3703,-268.995641,3971.99564
13.5047568,3759,-227.578098,3986.5781
13.5405186,3884,-117.15129,4001.15129
13.5762804,3766,-249.711556,4015.71156
13.6120422,3750,-280.255738,4030.25574
13.647804,3769,-275.781427,4044.78143
13.6835659,3805,-254.287412,4059.28741
13.7193277,3768,-305.774522,4073.77452
13.7550895,3941,-147.247376,4088.24738
13.7908513,3888,-214.718275,4102.71827
13.8266131,3871,-246.216248,4117.21625
13.8623749,3874,-257.806878,4131.80688
13.8981367,3902,-244.630359,4146.63036
13.9338985,3898,-263.956768,4161.95677
13.9696603,3888,-290.144839,4178.14484
14.0054221,3967,-228.011651,4195.01165
14.0411839,3901,-309.669136,4210.66914
14.0769457,3926,-297.050571,4223.05057
14.1127075,3990,-243.823312,4233.82331
14.1484693,4062,-183.282386,4245.28239
14.1842311,4061,-196.742484,4257.74248
14.2199929,4025,-245.722813,4270.72281
14.2557547,4113,-170.886249,4283.88625
14.2915165,4091,-206.084556,4297.08456
14.3272783,4022,-288.253977,4310.25398
14.3630401,4019,-304.363602,4323.3636
14.3988019,4061,-275.396315,4336.39631
14.4345637,4020,-329.341454,4349.34145
14.4703256,4117,-245.191676,4362.19168
14.5060874,4176,-198.941477,4374.94148
14.5418492,4134,-253.586447,4387.58645
14.577611,4107,-293.122862,4400.12286
14.6133728,4168,-244.547454,4412.54745
14.6491346,4104,-320.857275,4424.85728
14.6848964,4220,-217.049613,4437.04961
14.7206582,4126,-323.121932,4449.12193
14.75642,4173,-288.071845,4461.07185
14.7921818,4265,-207.897081,4472.89708
14.8279436,4305,-179.595472,4484.59547
14.8637054,4303,-193.164944,4496.16494
14.8994672,4328,-179.603501,4507.6035
14.935229,4324,-194.909223,4518.90922
14.9709908,4221,-309.080262,4530.08026
15.0067526,4348,-193.114835,4541.11483
15.0425144,4363,-189.011214,4552.01121
15.0782762,4433,-129.767715,4562.76771
15.114038,4439,-134.382644,4573.38264
15.1497998,4397,-186.854092,4583.85409
15.1855616,4433,-161.179636,4594.17964
15.2213234,4459,-145.358176,4604.35818
15.2570852,4491,-123.39184,4614.39184
15.2928471,4469,-155.277895,4624.2779
15.3286089,4454,-180.014145,4634.01415
15.3643707,4665,21.4007708,4643.59923
15.4001325,4473,-180.031955,4653.03196
15.4358943,4610,-52.3111624,4662.31116
15.4716561,4542,-129.435668,4671.43567
15.5074179,4589,-91.4040524,4680.40405
15.5431797,4550,-139.214346,4689.21435
15.5789415,4551,-146.865923,4697.86592
15.6147033,4476,-230.361488,4706.36149
15.6504651,4605,-109.698774,4714.69877
15.6862269,4543,-179.876026,4722.87603
15.7219887,4650,-80.8923282,4730.89233
15.7577505,4634,-104.746938,4738.74694
15.7935123,4679,-67.439156,4746.43916
15.8292741,4681,-72.9683237,4753.96832
15.8650359,4670,-91.3338212,4761.33382
15.9007977,4718,-50.5350671,4768.53507
15.9365595,4723,-52.5715177,4775.57152
15.9723213,4677,-105.442667,4782.44267
16.0080831,4718,-71.1480443,4789.14804
16.0438449,4791,-4.68721717,4795.68722
16.0796067,4724,-78.0597872,4802.05979
16.1153686,4775,-33.2653915,4808.26539
16.1511304,4844,29.6962985,4814.3037
16.1868922,4921,100.825577,4820.17442
16.222654,4680,-145.877294,4825.87729
16.2584158,4814,-17.412086,4831.41209
16.2941776,4917,80.2213962,4836.7786
16.3299394,4839,-2.97668265,4841.97668
16.3657012,4790,-57.0061896,4847.00619
16.401463,4982,130.132978,4851.86702
16.4372248,4995,138.440891,4856.55911
16.4729866,4881,19.9175928,4861.08241
16.5087484,4918,52.563096,4865.4369
16.5445102,4875,5.37738493,4869.62262
16.580272,4990,116.360415,4873.63958
16.6160338,4945,67.5121158,4877.48788
16.6517956,5072,190.832387,4881.16761
16.6875574,5146,261.321102,4884.6789
16.7233192,4951,62.97811,4888.02189
16.759081,4969,77.8032317,4891.19677
16.7948428,5120,225.796264,4894.20374
16.8306046,5153,255.956977,4897.04302
16.8663664,5205,305.285118,4899.71488
16.9021282,5184,281.78041,4902.21959
16.9378901,5050,145.442552,4904.55745
16.9736519,5043,136.271219,4906.72878
17.0094137,5148,239.266064,4908.73394
17.0451755,5110,199.426717,4910.57328
17.0809373,5241,328.752788,4912.24721
17.1166991,5210,296.243862,4913.75614
17.1524609,5118,202.899506,4915.10049
17.1882227,5129,212.719264,4916.28074
17.2239845,5181,263.702662,4917.29734
17.2597463,5183,264.849205,4918.1508
17.2955081,5205,286.158376,4918.84162
17.3312699,5215,295.629644,4919.37036
17.3670317,5201,281.262454,4919.73755
17.4027935,5056,136.056237,4919.94376
17.4385553,5229,309.010402,4919.9896
17.4743171,5244,324.124343,4919.87566
17.5100789,5323,403.397437,4919.60256
17.5458407,5107,187.829042,4919.17096
17.5816025,5371,452.418501,4918.5815
17.6173643,5392,474.165141,4917.83486
17.6531261,5232,315.068272,4916.93173
17.6888879,5297,381.127189,4915.87281
17.7246498,5309,394.341172,4914.65883
17.7604116,5205,291.709487,4913.29051
17.7961734,5280,368.231384,4911.76862
17.8319352,5392,481.906101,4910.0939
17.867697,5403,494.732858,4908.26714
17.9034588,5308,401.710867,4906.28913
17.9392206,5239,334.839324,4904.16068
17.9749824,5317,415.117411,4901.88259
18.0107442,5363,463.544299,4899.4557
18.046506,5173,276.119148,4896.88085
18.0822678,5312,417.841104,4894.1589
18.1180296,5209,317.709302,4891.2907
18.1537914,5307,418.722866,4888.27713
18.1895532,5328,442.880909,4885.11909
18.225315,5425,543.182533,4881.81747
18.2610768,5270,391.62683,4878.37317
18.2968386,5200,325.212881,4874.78712
18.3326004,5270,398.939759,4871.06024
18.3683622,5254,386.806525,4867.19347
18.404124,5326,462.812233,4863.18777
18.4398858,5368,508.955925,4859.04407
18.4756476,5285,430.236639,4854.76336
18.5114094,5237,386.653399,4850.3466
18.5471713,5223,377.205224,4845.79478
18.5829331,5192,350.891125,4841.10887
18.6186949,5063,226.710105,4836.28989
18.6544567,5208,376.661159,4831.33884
18.6902185,5218,391.743274,4826.25673
18.7259803,5204,382.955433,4821.04457
18.7617421,5188,372.296609,4815.70339
18.7975039,5085,274.765769,4810.23423
18.8332657,5086,281.361877,4804.63812
18.8690275,5122,323.083887,4798.91611
18.9047893,5241,447.930749,4793.06925
18.9405511,5127,339.901408,4787.09859
18.9763129,5133,351.994802,4781.0052
19.0120747,5199,424.209865,4774.79014
19.0478365,4833,64.5455263,4768.45447
19.0835983,5111,349.00071,4761.99929
19.1193601,5068,312.574336,4755.42566
19.1551219,5027,278.26532,4748.73468
19.1908837,4941,199.072573,4741.92743
19.2266455,5054,318.995004,4735.005
19.2624073,5128,400.031515,4727.96849
19.2981691,4987,266.181007,4720.81899
19.3339309,5034,320.442379,4713.55762
19.3696928,4873,166.814524,4706.18548
19.4054546,4823,124.296334,4698.70367
19.4412164,4997,305.886697,4691.1133
19.4769782,4896,212.584499,4683.4155
19.51274,4932,256.388626,4675.61137
19.5485018,4830,162.297958,4667.70204
19.5842636,4791,131.311375,4659.68862
19.6200254,4784,132.427756,4651.57224
19.6557872,4882,238.645978,4643.35402
19.691549,4878,242.964914,4635.03509
19.7273108,4797,170.38344,4626.61656
19.7630726,4767,148.900428,4618.09957
19.7988344,4831,221.51475,4609.48525
19.8345962,4659,58.2252762,4600.77472
19.870358,4626,34.0308781,4591.96912
19.9061198,4634,50.9304254,4583.06957
19.9418816,4585,10.9227878,4574.07721
19.9776434,4520,-44.9931652,4564.99317
20.0134052,4608,52.181436,4555.81856
20.049167,4565,18.4454611,4546.55454
20.0849288,4401,-136.20222,4537.20222
20.1206906,4572,44.2372634,4527.76274
20.1564524,4352,-166.237218,4518.23722
20.1922143,4529,20.3732077,4508.62679
20.2279761,4625,126.067413,4498.93259
20.2637379,4504,14.844271,4489.15573
20.2994997,4631,151.702657,4479.29734
20.3352615,4507,37.6414462,4469.35855
20.3710233,4360,-99.3404837,4459.34048
20.4067851,4332,-117.244254,4449.24425
20.4425469,4356,-83.0709849,4439.07098
20.4783087,4347,-81.8217939,4428.82179
20.5140705,4367,-51.4977972,4418.4978
20.5498323,4258,-150.100109,4408.10011
20.5855941,4337,-60.6298412,4397.62984
20.6213559,4230,-157.088104,4387.0881
